,City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
559,Puerto Ayora,-0.74,69.01,92,5,4.0
560,Te Anau,-45.41,56.03,70,80,6.17
561,Citta Di Castello,43.47,48.24,93,26,5.82
562,Tortoli,39.93,55.22,50,5,16.11
563,Albany,42.65,32.49,59,90,3.36
564,Narsaq,60.91,26.6,58,68,3.36
565,Tuatapere,-46.13,66.04,36,100,6.96
566,Hermanus,-34.42,56.79,69,99,11.99
567,Yellowknife,62.45,7.92,92,20,4.7
568,Svetlaya,46.54,30.4,37,0,14.07
569,New Norfolk,-42.78,51.1,58,75,23.04
570,Sarkand,45.41,26.24,84,100,1.16
571,Hithadhoo,-0.6,82.45,68,100,6.02
572,Puerto Ayora,-0.74,69.01,92,5,4.0
573,Busselton,-33.64,70.95,34,0,4.12
574,Cape Town,-33.93,58.24,62,75,4.7
575,Severo-Kurilsk,50.68,36.81,78,39,14.81
576,Ushuaia,-54.81,33.8,98,90,32.21
577,Kabale,-1.26,54.27,88,31,2.71
578,Port Hedland,-20.31,100.4,15,0,8.05
579,Bambous Virieux,-20.34,73.71,83,75,9.17
580,Butaritari,3.07,84.61,74,68,10.22
581,Rikitea,-23.12,77.59,72,0,3.76
582,Nikolskoye,59.7,24.46,73,100,11.18
583,Hobart,-42.88,51.08,58,75,23.04
584,Dikson,73.51,-11.64,93,1,11.81
585,Castro,-42.48,35.46,97,97,1.81
586,Ushuaia,-54.81,33.8,98,90,32.21
587,Milkovo,41.53,55.08,93,0,8.05
588,Khatanga,71.98,-8.2,81,47,9.13
589,San Felipe,-32.75,54.05,23,0,7.36
590,Busselton,-33.64,70.95,34,0,4.12
591,Ushuaia,-54.81,33.8,98,90,32.21
592,Bjornevatn,69.67,15.8,92,75,2.24
593,Lebu,8.96,53.6,66,20,3.36
594,Punta Arenas,-53.16,37.22,68,75,33.33
595,Vestmannaeyjar,63.44,39.42,84,100,14.2
596,Puerto Ayora,-0.74,69.01,92,5,4.0
597,Hobart,-42.88,51.08,58,75,23.04
598,Knysna,-34.04,57.2,71,100,10.29
599,New Norfolk,-42.78,51.1,58,75,23.04
600,Butaritari,3.07,84.61,74,68,10.22
601,Bay Roberts,47.58,42.67,81,20,29.97
602,Rikitea,-23.12,77.59,72,0,3.76
603,Fougamou,-1.22,72.75,98,100,1.63
604,Longyearbyen,78.22,12.2,72,20,3.36
605,Mataura,-46.19,66.67,69,100,2.68
606,Port Elizabeth,39.31,40.06,80,1,3.22
607,Alyangula,-13.85,91.4,49,75,6.93
608,Ushuaia,-54.81,33.8,98,90,32.21
609,Ilulissat,69.22,26.6,58,97,1.12
610,Beringovskiy,63.05,30.06,87,96,13.71
611,Kaitangata,-46.28,61.0,73,67,8.01
612,Barreiras,-12.14,74.84,53,0,3.09
613,Severo-Kurilsk,50.68,36.81,78,39,14.81
614,Cape Town,-33.93,58.24,62,75,4.7
615,Kapaa,22.08,82.44,65,40,17.22
616,Cape Town,-33.93,58.24,62,75,4.7
617,Torbay,47.66,42.67,81,20,29.97
618,Bredasdorp,-34.53,57.29,54,23,17.22
619,Punta Arenas,-53.16,37.22,68,75,33.33
620,Albany,42.65,32.49,59,90,3.36
621,Albany,42.65,32.49,59,90,3.36
622,Xiangxiang,27.73,68.0,49,5,8.7
623,Ferrol,43.48,51.76,71,75,11.41
624,Butaritari,3.07,84.61,74,68,10.22
625,Kloulklubed,7.04,82.4,83,90,13.87
626,Port Hardy,50.7,48.2,87,90,2.66
627,Hermanus,-34.42,56.79,69,99,11.99
628,Hillsboro,39.16,45.59,93,90,1.95
629,Sorong,-0.86,83.28,79,100,4.32
630,Dingle,11.0,82.78,80,33,15.35
631,Hilo,19.71,73.83,66,1,6.93
632,Gigmoto,13.78,84.74,71,36,11.07
633,Bluff,-23.58,88.39,19,0,3.22
634,Mangrol,25.33,72.5,64,99,3.11
635,Rikitea,-23.12,77.59,72,0,3.76
636,Tuktoyaktuk,69.44,23.0,92,90,6.93
637,Kautokeino,69.01,1.45,99,33,1.5
638,Hilo,19.71,73.83,66,1,6.93
639,Hermanus,-34.42,56.79,69,99,11.99
640,Bluff,-23.58,88.39,19,0,3.22
641,Punta Arenas,-53.16,37.22,68,75,33.33
642,Atuona,-9.8,80.31,77,100,17.25
643,Kifri,34.69,63.05,31,0,4.18
644,San Patricio,-26.98,71.02,94,69,4.76
645,Lorengau,-2.02,84.29,67,88,8.66
646,Hobart,-42.88,51.08,58,75,23.04
647,Provideniya,64.42,30.2,58,0,11.18
648,Dikson,73.51,-11.64,93,1,11.81
649,Busselton,-33.64,70.95,34,0,4.12
650,Qaanaaq,77.48,-0.01,57,14,6.51
651,Puerto Ayora,-0.74,69.01,92,5,4.0
652,New Norfolk,-42.78,51.1,58,75,23.04
653,La Ronge,55.1,15.8,61,90,8.05
654,Pevek,69.7,25.52,74,57,8.39
655,Rikitea,-23.12,77.59,72,0,3.76
656,Hilo,19.71,73.83,66,1,6.93
657,Pospelikha,51.99,33.15,63,1,16.67
658,Ambovombe,-25.18,72.25,78,0,7.14
659,Baoro,5.69,66.2,76,87,0.92
660,Cabo San Lucas,22.89,79.03,74,75,4.7
661,Rikitea,-23.12,77.59,72,0,3.76
662,Kruisfontein,-34.0,56.61,80,97,24.83
663,Albany,42.65,32.49,59,90,3.36
664,Ribeira Grande,38.52,60.62,85,100,7.29
665,Port Lincoln,-34.72,61.92,63,100,21.25
666,Barrow,-38.31,61.7,39,20,10.11
667,Castro,-42.48,35.46,97,97,1.81
668,Chuy,-33.69,59.4,74,97,6.98
669,Tiksi,71.64,-12.39,99,89,3.53
670,Rikitea,-23.12,77.59,72,0,3.76
671,Vaini,15.34,66.2,100,40,1.25
672,Nikolskoye,59.7,24.46,73,100,11.18
673,Hilo,19.71,73.83,66,1,6.93
674,Puerto Ayora,-0.74,69.01,92,5,4.0
675,Cayenne,4.94,78.8,94,91,2.24
676,Waipawa,-39.94,77.0,58,68,5.01
677,Kahului,20.89,78.58,69,75,20.8
678,Khash,28.22,46.98,21,0,3.29
679,Puerto Ayora,-0.74,69.01,92,5,4.0
680,Rikitea,-23.12,77.59,72,0,3.76
681,Portree,57.41,39.9,85,100,3.0
682,Qasigiannguit,68.82,26.6,58,97,1.12
683,Bongor,10.28,75.92,28,0,2.28
684,Tikamgarh,24.74,73.72,45,57,6.53
685,Ushuaia,-54.81,33.8,98,90,32.21
686,Diego De Almagro,-26.39,57.83,35,0,2.51
687,Cidreira,-30.17,67.59,77,31,25.19
688,Zeya,53.74,7.97,66,0,4.92
689,Ushuaia,-54.81,33.8,98,90,32.21
690,Sao Pedro Do Sul,-29.62,68.0,72,3,11.41
691,Tete,-16.16,82.4,58,14,6.93
692,Puerto Ayora,-0.74,69.01,92,5,4.0
693,Obregon,11.96,80.6,78,40,9.17
694,Rikitea,-23.12,77.59,72,0,3.76
695,Vanimo,-2.67,82.54,69,98,3.24
696,Marquette,46.54,22.01,73,5,5.82
697,Laguna,16.17,77.0,94,20,2.01
698,Hermanus,-34.42,56.79,69,99,11.99
699,Timizart,36.8,62.67,66,1,14.5
700,Saint Anthony,43.97,40.03,39,1,6.93
701,Tamandare,-8.28,73.13,99,97,4.36
702,Cape Town,-33.93,58.24,62,75,4.7
703,Mataura,-46.19,66.67,69,100,2.68
704,Lahad Datu,5.02,83.34,71,85,5.93
705,Toora-Khem,52.47,29.19,80,25,1.86
706,Vao,59.1,27.77,88,96,8.08
707,Klaksvik,62.23,35.6,68,100,9.17
708,Kapaa,22.08,82.44,65,40,17.22
709,Husavik,50.56,12.13,73,5,7.87
710,Rikitea,-23.12,77.59,72,0,3.76
711,Mataura,-46.19,66.67,69,100,2.68
712,Busselton,-33.64,70.95,34,0,4.12
713,Atuona,-9.8,80.31,77,100,17.25
714,Kropotkin,45.43,54.03,59,1,6.13
715,Castro,-42.48,35.46,97,97,1.81
716,Butaritari,3.07,84.61,74,68,10.22
717,Mahibadhoo,3.78,82.35,77,67,10.02
718,Lavrentiya,65.58,27.28,80,4,14.29
719,Ushuaia,-54.81,33.8,98,90,32.21
720,Jamestown,-33.21,65.84,41,28,16.15
721,Sao Filipe,14.9,74.84,80,2,18.66
722,Borovskoy,53.8,33.85,70,100,14.34
723,Ushuaia,-54.81,33.8,98,90,32.21
724,Rikitea,-23.12,77.59,72,0,3.76
725,Pathein,16.78,82.2,77,100,10.94
726,Hilo,19.71,73.83,66,1,6.93
727,Mataura,-46.19,66.67,69,100,2.68
728,Rikitea,-23.12,77.59,72,0,3.76
729,Busselton,-33.64,70.95,34,0,4.12
730,Santa Marinella,42.04,53.69,67,0,10.29
731,Ilhabela,-23.78,72.07,77,93,13.29
732,Esperance,-33.86,60.8,67,90,12.75
733,Spearfish,44.49,13.28,85,90,2.1
734,Tobermory,45.25,28.0,88,100,18.07
735,Melton,-37.68,58.5,63,75,33.33
736,Busselton,-33.64,70.95,34,0,4.12
737,Busselton,-33.64,70.95,34,0,4.12
738,Ridgetown,42.44,41.4,70,90,12.75
739,Mataura,-46.19,66.67,69,100,2.68
740,Butaritari,3.07,84.61,74,68,10.22
741,Bangsund,64.4,30.0,73,84,1.01
742,Sorland,67.67,34.25,58,0,9.26
743,Ushuaia,-54.81,33.8,98,90,32.21
744,Vaini,15.34,66.2,100,40,1.25
745,Busselton,-33.64,70.95,34,0,4.12
746,Ostersund,63.18,24.22,92,100,8.05
747,Kushima,31.5,62.46,63,75,5.82
748,Rikitea,-23.12,77.59,72,0,3.76
749,Tshikapa,-6.42,68.77,98,100,0.11
750,Saldanha,41.42,45.28,81,25,13.69
751,Mayo,63.59,3.2,84,90,3.36
752,Ushuaia,-54.81,33.8,98,90,32.21
753,Honningsvag,70.98,31.95,71,31,6.24
754,Mount Isa,-20.73,93.2,6,0,9.17
755,Mount Hagen,-5.86,64.2,71,100,5.21
756,Komsomolskiy,67.55,5.25,96,88,6.22
757,Saint-Philippe,45.36,38.05,55,90,9.17
758,Longyearbyen,78.22,12.2,72,20,3.36
759,Hobart,-42.88,51.08,58,75,23.04
760,Puerto Colombia,10.99,82.22,88,75,11.41
761,Puerto Ayora,-0.74,69.01,92,5,4.0
762,Nagybajom,46.39,48.2,100,75,5.82
763,Hamilton,43.26,37.96,93,90,4.7
764,Kapaa,22.08,82.44,65,40,17.22
765,Port Elizabeth,39.31,40.06,80,1,3.22
766,Jamestown,-33.21,65.84,41,28,16.15
767,Nipawin,53.36,8.6,78,75,8.05
768,East London,-33.02,65.8,79,100,15.05
769,Guarapari,-20.67,77.0,83,90,12.75
770,Vanavara,60.35,11.55,91,3,3.38
771,Katsuura,33.93,59.99,62,75,4.7
772,Dikson,73.51,-11.64,93,1,11.81
773,Port Keats,-14.25,95.45,41,14,10.13
774,Vaini,15.34,66.2,100,40,1.25
775,Bluff,-23.58,88.39,19,0,3.22
776,Goderich,43.74,35.22,82,99,4.0
777,Punta Arenas,-53.16,37.22,68,75,33.33
778,Zyryanka,65.73,5.29,93,100,11.63
779,Tucumcari,35.17,56.12,51,90,8.05
780,Mataura,-46.19,66.67,69,100,2.68
781,Port Alfred,-33.59,62.01,88,100,5.01
782,Kruisfontein,-34.0,56.61,80,97,24.83
783,Marzuq,14.4,59.23,37,0,1.57
784,Tiksi,71.64,-12.39,99,89,3.53
785,Rikitea,-23.12,77.59,72,0,3.76
786,Chokurdakh,70.62,10.81,96,99,4.07
787,Jahanabad,33.86,42.8,36,0,2.13
788,Mataura,-46.19,66.67,69,100,2.68
789,Severo-Kurilsk,50.68,36.81,78,39,14.81
790,Sioux Lookout,50.1,13.3,78,20,6.93
791,Rikitea,-23.12,77.59,72,0,3.76
792,Hambantota,6.12,79.92,75,73,6.51
793,Punta Arenas,-53.16,37.22,68,75,33.33
794,Batticaloa,7.71,81.23,75,83,2.82
795,Punta Arenas,-53.16,37.22,68,75,33.33
796,Lompoc,34.64,55.8,76,1,5.82
797,Lombardia,4.81,69.6,88,40,11.41
798,Cidreira,-30.17,67.59,77,31,25.19
799,Russkaya Polyana,53.78,34.54,89,99,13.0
800,Tessalit,20.2,73.42,21,0,5.66
801,Ushuaia,-54.81,33.8,98,90,32.21
802,Dikson,73.51,-11.64,93,1,11.81
803,Butaritari,3.07,84.61,74,68,10.22
804,Ushuaia,-54.81,33.8,98,90,32.21
805,Ituacu,-13.81,71.73,57,0,4.09
806,Maine-Soroa,13.21,78.64,15,0,7.11
807,Mataura,-46.19,66.67,69,100,2.68
808,Luderitz,-26.65,60.8,67,0,16.11
809,Ancud,-41.87,46.36,81,100,6.06
810,Ushuaia,-54.81,33.8,98,90,32.21
811,Adrar,27.87,62.6,33,0,11.41
812,New Norfolk,-42.78,51.1,58,75,23.04
813,Somerset East,-32.72,49.48,92,89,5.01
814,Tuatapere,-46.13,66.04,36,100,6.96
815,Mataura,-46.19,66.67,69,100,2.68
816,Khatanga,71.98,-8.2,81,47,9.13
817,Chernyshkovskiy,48.42,51.64,62,21,11.01
818,Namibe,-15.19,73.87,80,75,11.01
819,Airai,-8.93,86.16,36,17,8.68
820,Gorontalo,0.54,86.99,51,98,6.69
821,Muros,42.77,50.88,100,40,3.36
822,Hilo,19.71,73.83,66,1,6.93
823,Saint-Philippe,45.36,38.05,55,90,9.17
824,Nedryhayliv,50.83,45.63,90,100,4.83
825,Saint-Philippe,45.36,38.05,55,90,9.17
826,Hilo,19.71,73.83,66,1,6.93
827,Ayolas,-27.39,70.59,90,24,6.08
828,Kawalu,-7.38,85.6,33,18,4.43
829,Rikitea,-23.12,77.59,72,0,3.76
830,Busselton,-33.64,70.95,34,0,4.12
831,Yellowknife,62.45,7.92,92,20,4.7
832,Ternate,14.29,85.05,74,75,5.82
833,Butaritari,3.07,84.61,74,68,10.22
834,Lagoa,37.14,59.0,87,20,5.82
835,Lebu,8.96,53.6,66,20,3.36
836,Virginia Beach,36.85,44.46,93,1,10.0
837,New Norfolk,-42.78,51.1,58,75,23.04
838,Hermanus,-34.42,56.79,69,99,11.99
839,Flin Flon,54.77,13.17,85,100,4.56
840,Balvi,57.13,33.96,97,100,7.54
841,Benicarlo,40.42,39.79,68,0,1.01
842,New Norfolk,-42.78,51.1,58,75,23.04
843,Ushuaia,-54.81,33.8,98,90,32.21
844,Ancud,-41.87,46.36,81,100,6.06
845,Port Hardy,50.7,48.2,87,90,2.66
846,Nantucket,41.28,39.92,70,1,5.82
847,Honiara,-9.43,87.8,70,40,6.93
848,Jamestown,-33.21,65.84,41,28,16.15
849,Viedma,-40.81,63.18,47,99,19.69
850,Bambanglipuro,-7.95,85.01,50,5,9.01
851,Cockburn Town,21.46,82.04,80,25,16.87
852,Butaritari,3.07,84.61,74,68,10.22
853,Balkhash,46.84,31.12,94,100,13.4
854,Nanortalik,60.14,34.32,69,100,22.5
855,Rio Pomba,-21.28,69.15,95,100,2.01
856,Mar Del Plata,-46.43,49.62,31,0,33.98
857,Channel-Port Aux Basques,47.57,38.8,57,100,38.03
858,Khatanga,71.98,-8.2,81,47,9.13
859,Marumori,37.9,53.6,66,75,1.12
860,Halifax,44.65,39.4,60,5,17.22
861,Hilo,19.71,73.83,66,1,6.93
862,Tamandare,-8.28,73.13,99,97,4.36
863,Cape Town,-33.93,58.24,62,75,4.7
864,Dinguiraye,11.29,74.48,72,53,1.74
865,East London,-33.02,65.8,79,100,15.05
866,Coquimbo,-29.95,55.4,87,0,2.24
867,Lebu,8.96,53.6,66,20,3.36
868,Roma,41.89,52.41,82,40,4.7
869,Beipiao,41.8,37.85,20,0,12.75
870,Port Elizabeth,39.31,40.06,80,1,3.22
871,Albany,42.65,32.49,59,90,3.36
872,Anaconda,46.13,25.72,68,1,4.7
873,Hithadhoo,-0.6,82.45,68,100,6.02
874,Katsuura,33.93,59.99,62,75,4.7
875,Longyearbyen,78.22,12.2,72,20,3.36
876,Amahai,-3.31,80.04,71,32,0.43
877,Sampit,-2.54,93.24,41,96,4.79
878,Bredasdorp,-34.53,57.29,54,23,17.22
879,Khatanga,71.98,-8.2,81,47,9.13
880,Nanortalik,60.14,34.32,69,100,22.5
881,Hasaki,35.73,65.01,63,20,10.29
882,Busselton,-33.64,70.95,34,0,4.12
883,Castro,-42.48,35.46,97,97,1.81
884,Coihaique,-45.58,44.6,56,75,9.17
885,Gold Coast,-28.0,91.92,20,0,8.01
886,Okitipupa,6.5,74.14,98,32,1.43
887,Longyearbyen,78.22,12.2,72,20,3.36
888,Yar-Sale,66.83,3.43,96,8,8.3
889,Longyearbyen,78.22,12.2,72,20,3.36
890,Takoradi,4.89,77.77,89,22,4.41
891,Rikitea,-23.12,77.59,72,0,3.76
892,Mataura,-46.19,66.67,69,100,2.68
893,Burnie,-41.05,51.62,71,64,5.99
894,Anadyr,64.73,21.09,79,0,6.71
895,Maragogi,-9.01,78.94,74,79,12.12
896,Novo Aripuana,-5.12,80.49,66,93,2.17
897,Kodiak,39.95,36.57,64,90,23.04
898,Nuevitas,21.55,77.0,94,19,5.82
899,Kidal,18.44,76.19,19,0,7.07
900,Bredasdorp,-34.53,57.29,54,23,17.22
901,Sturgeon Falls,46.36,28.36,86,90,14.99
902,Novoagansk,61.94,35.38,99,100,12.53
903,Vaini,15.34,66.2,100,40,1.25
904,San Quintin,17.54,84.61,75,6,3.89
905,Bluff,-23.58,88.39,19,0,3.22
906,Mataura,-46.19,66.67,69,100,2.68
907,Khatanga,71.98,-8.2,81,47,9.13
908,Ushuaia,-54.81,33.8,98,90,32.21
909,Busselton,-33.64,70.95,34,0,4.12
910,Avarua,-21.21,77.0,78,10,9.17
911,Whitianga,-36.83,78.01,66,29,1.99
912,New Norfolk,-42.78,51.1,58,75,23.04
913,Iqaluit,63.75,6.42,71,20,8.05
914,Taltal,-25.41,53.85,80,0,1.05
915,Tsagan Aman,47.57,48.96,90,42,10.29
916,Port Alfred,-33.59,62.01,88,100,5.01
917,Hermanus,-34.42,56.79,69,99,11.99
918,Punta Arenas,-53.16,37.22,68,75,33.33
919,Hasaki,35.73,65.01,63,20,10.29
920,Provideniya,64.42,30.2,58,0,11.18
921,Busselton,-33.64,70.95,34,0,4.12
922,Talnakh,69.49,14.0,85,75,15.66
923,Komsomolets,52.77,53.96,89,100,14.25
924,Gat,14.69,73.4,78,86,19.46
925,Talnakh,69.49,14.0,85,75,15.66
926,Bambous Virieux,-20.34,73.71,83,75,9.17
927,Ewa Beach,21.32,82.81,55,75,12.75
928,Husavik,50.56,12.13,73,5,7.87
929,Albany,42.65,32.49,59,90,3.36
930,Kropotkin,45.43,54.03,59,1,6.13
931,Matay,28.42,62.11,95,0,6.13
932,Ushuaia,-54.81,33.8,98,90,32.21
933,Castro,-42.48,35.46,97,97,1.81
934,Sweetwater,32.47,64.58,100,75,6.71
935,Jamestown,-33.21,65.84,41,28,16.15
936,Busselton,-33.64,70.95,34,0,4.12
937,Hermanus,-34.42,56.79,69,99,11.99
938,At-Bashi,41.17,9.37,68,0,1.07
939,Busselton,-33.64,70.95,34,0,4.12
940,Vaini,15.34,66.2,100,40,1.25
941,Deputatskiy,69.3,-0.98,96,96,4.92
942,Rolla,37.95,50.32,93,75,4.7
943,Puerto Ayora,-0.74,69.01,92,5,4.0
944,Kutum,14.2,64.53,27,0,2.68
945,Mataura,-46.19,66.67,69,100,2.68
946,Kapaa,22.08,82.44,65,40,17.22
947,Green Valley,40.41,41.0,87,90,14.99
948,Kalmunai,7.42,79.38,80,71,5.23
949,Mataura,-46.19,66.67,69,100,2.68
950,Albany,42.65,32.49,59,90,3.36
951,Ushuaia,-54.81,33.8,98,90,32.21
952,Kapaa,22.08,82.44,65,40,17.22
953,Dikson,73.51,-11.64,93,1,11.81
954,Mayskiy,43.63,42.24,48,0,2.24
955,Bambous Virieux,-20.34,73.71,83,75,9.17
956,Atuona,-9.8,80.31,77,100,17.25
957,Lagoa,37.14,59.0,87,20,5.82
958,Dikson,73.51,-11.64,93,1,11.81
959,Mataura,-46.19,66.67,69,100,2.68
960,Ushuaia,-54.81,33.8,98,90,32.21
961,Rikitea,-23.12,77.59,72,0,3.76
962,Goiatuba,-18.02,72.55,89,98,2.91
963,Carnarvon,-30.97,44.56,71,0,14.79
964,Mahebourg,-20.41,73.71,83,75,9.17
965,Atuona,-9.8,80.31,77,100,17.25
966,Avarua,-21.21,77.0,78,10,9.17
967,Kuytun,54.34,32.04,76,100,7.34
968,Ilulissat,69.22,26.6,58,97,1.12
969,Atuona,-9.8,80.31,77,100,17.25
970,Harper,30.3,67.57,88,1,13.44
971,Bandarbeyla,9.49,81.25,73,89,6.6
972,Ca Mau,9.18,83.23,83,47,5.73
973,Albany,42.65,32.49,59,90,3.36
974,Kaitangata,-46.28,61.0,73,67,8.01
975,Grand-Lahou,5.24,81.48,79,100,6.08
976,Rikitea,-23.12,77.59,72,0,3.76
977,Ponta Do Sol,-20.63,68.22,95,97,5.35
978,Tasiilaq,65.61,24.8,68,100,5.82
979,Pevek,69.7,25.52,74,57,8.39
980,Meulaboh,4.14,80.62,79,83,9.51
981,Westport,41.14,40.55,52,1,7.74
982,Farkhor,37.49,43.7,93,75,2.24
983,Lompoc,34.64,55.8,76,1,5.82
984,New Norfolk,-42.78,51.1,58,75,23.04
985,Taoudenni,22.68,70.45,28,0,5.68
986,Mount Gambier,-37.83,57.2,87,90,20.8
987,Puerto Madryn,-42.77,56.68,21,15,20.98
988,Lac Du Bonnet,50.25,10.0,73,52,5.32
989,Novyy Urengoy,66.08,8.71,91,100,3.8
990,Fort Nelson,58.81,14.0,85,75,2.24
991,Hithadhoo,-0.6,82.45,68,100,6.02
992,Hualmay,-11.1,59.85,85,5,2.17
993,Rikitea,-23.12,77.59,72,0,3.76
994,Busselton,-33.64,70.95,34,0,4.12
995,Butaritari,3.07,84.61,74,68,10.22
996,Noumea,-22.28,80.31,44,0,11.41
997,Mataura,-46.19,66.67,69,100,2.68
998,Punta Arenas,-53.16,37.22,68,75,33.33
999,Albany,42.65,32.49,59,90,3.36
1000,Mataura,-46.19,66.67,69,100,2.68
1001,Kavieng,-2.57,83.86,76,100,15.88
1002,Rikitea,-23.12,77.59,72,0,3.76
1003,Evensk,61.92,27.3,91,100,18.28
1004,Oistins,13.07,84.2,70,40,26.4
1005,Saint-Philippe,45.36,38.05,55,90,9.17
1006,Punta Arenas,-53.16,37.22,68,75,33.33
1007,Avarua,-21.21,77.0,78,10,9.17
1008,Lagoa,37.14,59.0,87,20,5.82
1009,Kruisfontein,-34.0,56.61,80,97,24.83
1010,San Pedro,-33.68,66.22,74,29,3.0
1011,Bathsheba,13.22,84.2,70,40,26.4
1012,Mar Del Plata,-46.43,49.62,31,0,33.98
1013,Busselton,-33.64,70.95,34,0,4.12
1014,Mataura,-46.19,66.67,69,100,2.68
1015,Atuona,-9.8,80.31,77,100,17.25
1016,Rikitea,-23.12,77.59,72,0,3.76
1017,Busselton,-33.64,70.95,34,0,4.12
1018,Reconquista,-29.14,66.87,74,1,8.08
1019,Upernavik,72.79,24.15,93,100,3.69
1020,Qaanaaq,77.48,-0.01,57,14,6.51
1021,Jalingo,10.3,71.2,44,0,2.17
1022,Zhezkazgan,47.8,30.2,74,90,11.18
1023,Fairbanks,64.84,26.92,86,90,3.36
1024,Bluff,-23.58,88.39,19,0,3.22
1025,Careiro Da Varzea,-3.2,83.19,70,20,3.36
1026,Kitimat,54.02,41.0,65,90,9.17
1027,Hobart,-42.88,51.08,58,75,23.04
1028,Punta Arenas,-53.16,37.22,68,75,33.33
1029,Upernavik,72.79,24.15,93,100,3.69
1030,Cape Town,-33.93,58.24,62,75,4.7
1031,Torrington,42.06,22.39,100,90,8.05
1032,Hasaki,35.73,65.01,63,20,10.29
1033,Nanortalik,60.14,34.32,69,100,22.5
1034,Mataura,-46.19,66.67,69,100,2.68
1035,Bandarbeyla,9.49,81.25,73,89,6.6
1036,Kaitangata,-46.28,61.0,73,67,8.01
1037,Hermanus,-34.42,56.79,69,99,11.99
1038,Qaanaaq,77.48,-0.01,57,14,6.51
1039,Jamestown,-33.21,65.84,41,28,16.15
1040,Constitucion,23.99,63.52,59,90,9.17
1041,Chupa,-15.11,42.31,83,100,3.8
1042,Maiduguri,11.84,77.65,18,0,5.41
1043,Ponta Do Sol,-20.63,68.22,95,97,5.35
1044,Sitka,37.17,47.73,60,100,23.73
1045,Ushuaia,-54.81,33.8,98,90,32.21
1046,Gusinoye Ozero,51.11,31.57,57,0,2.73
1047,Nikolskoye,59.7,24.46,73,100,11.18
1048,Ushuaia,-54.81,33.8,98,90,32.21
1049,Qaanaaq,77.48,-0.01,57,14,6.51
1050,Dong Xoai,11.53,84.88,67,100,1.95
1051,Beaverlodge,55.21,8.6,84,75,4.7
1052,Upernavik,72.79,24.15,93,100,3.69
1053,Hobart,-42.88,51.08,58,75,23.04
1054,Sakaiminato,35.55,59.97,62,75,3.36
1055,Qaanaaq,77.48,-0.01,57,14,6.51
1056,Half Moon Bay,37.46,55.67,93,90,8.05
1057,Katsuura,33.93,59.99,62,75,4.7
1058,Busselton,-33.64,70.95,34,0,4.12
1059,Atuona,-9.8,80.31,77,100,17.25
1060,Yenotayevka,47.24,48.69,93,0,9.22
1061,Rikitea,-23.12,77.59,72,0,3.76
1062,Avarua,-21.21,77.0,78,10,9.17
1063,Mataura,-46.19,66.67,69,100,2.68
1064,Punta Arenas,-53.16,37.22,68,75,33.33
1065,Punta Arenas,-53.16,37.22,68,75,33.33
1066,Santa Maria,-16.02,71.87,78,20,2.24
1067,Kamaishi,39.28,48.2,81,75,1.12
1068,Tasiilaq,65.61,24.8,68,100,5.82
1069,Hilo,19.71,73.83,66,1,6.93
1070,Longyearbyen,78.22,12.2,72,20,3.36
1071,Mataura,-46.19,66.67,69,100,2.68
1072,Mataura,-46.19,66.67,69,100,2.68
1073,Souillac,45.6,53.42,87,90,16.11
1074,Bethel,60.79,34.39,90,90,12.75
1075,Biak,-0.91,81.77,72,100,14.03
1076,Puerto Ayora,-0.74,69.01,92,5,4.0
1077,Mataura,-46.19,66.67,69,100,2.68
1078,Hobart,-42.88,51.08,58,75,23.04
1079,Buchanan,5.88,77.0,94,75,1.52
1080,Vaini,15.34,66.2,100,40,1.25
1081,Georgetown,6.8,79.47,83,40,9.17
1082,Mataura,-46.19,66.67,69,100,2.68
1083,Hermanus,-34.42,56.79,69,99,11.99
1084,Hilo,19.71,73.83,66,1,6.93
1085,Koulamoutou,-1.13,69.87,98,100,0.89
1086,Ushuaia,-54.81,33.8,98,90,32.21
1087,Tasiilaq,65.61,24.8,68,100,5.82
1088,Luwuk,-0.95,81.77,72,100,14.03
1089,Baherden,38.44,38.75,20,0,9.26
1090,Hasaki,35.73,65.01,63,20,10.29
1091,Alice Springs,-23.7,89.6,8,1,12.75
1092,Davila,18.47,78.8,88,75,2.24
1093,Batemans Bay,-35.71,65.91,30,0,13.0
1094,Bluff,-23.58,88.39,19,0,3.22
1095,Puerto Ayora,-0.74,69.01,92,5,4.0
1096,Butaritari,3.07,84.61,74,68,10.22
1097,Kaeo,-35.1,75.0,68,51,8.99
1098,Bluff,-23.58,88.39,19,0,3.22
1099,Ostrovnoy,68.05,17.17,93,89,4.54
1100,Half Moon Bay,37.46,55.67,93,90,8.05
1101,Bereda,43.27,50.31,71,75,11.41
1102,Dicamay,16.76,81.43,81,99,3.83
1103,Ushuaia,-54.81,33.8,98,90,32.21
1104,Vaini,15.34,66.2,100,40,1.25
1105,Bend,44.06,40.01,79,1,3.36
1106,Busselton,-33.64,70.95,34,0,4.12
1107,Vaini,15.34,66.2,100,40,1.25
1108,Sitka,37.17,47.73,60,100,23.73
1109,La Ronge,55.1,15.8,61,90,8.05
1110,Ushuaia,-54.81,33.8,98,90,32.21
1111,Kapaa,22.08,82.44,65,40,17.22
1112,Rikitea,-23.12,77.59,72,0,3.76
1113,Narsaq,60.91,26.6,58,68,3.36
